method,stage,seed,rmse,rank,observation_rmse,noise_sd,initial_rmse,after_setup_rmse,fit_seconds,uncontended_timing
current,cgb,1,0.17045794427394867,6,1.2404189109802246,1.2514268159866333,0.2683359682559967,0.2232201248407364,40.230751300026895,True
current,cgb,2,0.14812789857387543,6,1.2398821115493774,1.2493001222610474,0.26214534044265747,0.20727775990962982,60.257536699966295,False
current,cgb,3,0.16511568427085876,6,1.236443281173706,1.2472865581512451,0.2645868957042694,0.20758523046970367,52.2935527000227,False
current,cgb,4,0.16652990877628326,6,1.239726185798645,1.2508975267410278,0.26429933309555054,0.21344856917858124,53.141556800022954,False
current,cgb,5,0.1629094034433365,6,1.2441343069076538,1.255153775215149,0.2651256024837494,0.20321030914783478,56.92710949992761,False
current,cgb,6,0.165154829621315,6,1.2400593757629395,1.2512710094451904,0.26342204213142395,0.19592450559139252,68.15058669997961,False
current,cgb,7,0.16329734027385712,6,1.23758065700531,1.2486096620559692,0.2626330554485321,0.2127051055431366,56.75239969996619,False
current,cgb,8,0.16271351277828217,6,1.2397279739379883,1.2506226301193237,0.26430651545524597,0.19922441244125366,58.75643100007437,False
current,cgb,9,0.16756796836853027,6,1.238114356994629,1.2495044469833374,0.2639633119106293,0.2047244906425476,63.504047899943544,False
current,cgb,10,0.17405563592910767,6,1.2403873205184937,1.2512316703796387,0.264779269695282,0.20767344534397125,62.90289210001356,False
current,cgb,11,0.1614784449338913,6,1.2344911098480225,1.2455205917358398,0.26008543372154236,0.21400532126426697,56.207719100028044,False
current,cgb,12,0.16275545954704285,6,1.2409043312072754,1.251902461051941,0.26267358660697937,0.20278888940811157,56.917166100029135,False
current,cgb,13,0.18076157569885254,6,1.2386696338653564,1.252090334892273,0.26279523968696594,0.21558190882205963,54.63452389999293,False
current,cgb,14,0.18625514209270477,6,1.2307510375976562,1.244691014289856,0.2629595696926117,0.21781477332115173,78.65120190000744,False
current,cgb,15,0.16515257954597473,6,1.236891746520996,1.2479329109191895,0.2645880877971649,0.21400071680545807,63.25732609996339,False
current,cgb,16,0.1634131819009781,6,1.2398494482040405,1.2509815692901611,0.263805627822876,0.2176753729581833,75.1687381999509,False
current,cgb,17,0.16388265788555145,6,1.240265130996704,1.2513912916183472,0.26444387435913086,0.21889665722846985,71.55255920006311,False
current,cgb,18,0.16400769352912903,6,1.2412779331207275,1.2522886991500854,0.2635715901851654,0.21104080975055695,55.91323199996259,False
current,cgb,19,0.18344295024871826,6,1.2395352125167847,1.2525062561035156,0.2646348476409912,0.21909451484680176,58.72390949999681,False
current,cgb,20,0.1645294427871704,6,1.2381986379623413,1.2492495775222778,0.26416584849357605,0.20580652356147766,76.78639680004562,False
current,cgb,21,0.16183152794837952,6,1.2402247190475464,1.2512377500534058,0.2635412812232971,0.19684618711471558,76.93515399997705,False
current,cgb,22,0.16760748624801636,6,1.238831639289856,1.2499940395355225,0.26542553305625916,0.21072793006896973,70.21456569997827,False
current,cgb,23,0.16405896842479706,6,1.2380820512771606,1.2492648363113403,0.26161327958106995,0.2128371298313141,87.95366070000455,False
current,cgb,24,0.16390061378479004,6,1.2386298179626465,1.2496336698532104,0.263873428106308,0.19932013750076294,90.08763039999758,False
current,cgb,25,0.15937401354312897,6,1.2406320571899414,1.2515227794647217,0.2610938847064972,0.2007308304309845,80.26970149995759,False
current,cgb,26,0.14831005036830902,6,1.2395459413528442,1.2487947940826416,0.26520776748657227,0.2086719572544098,52.785699600033695,False
current,cgb,27,0.1654844880104065,6,1.2369444370269775,1.24845552444458,0.26290369033813477,0.2022286057472229,78.44470650007133,False
current,cgb,28,0.18557322025299072,6,1.2343900203704834,1.2485791444778442,0.26042211055755615,0.21381743252277374,70.71543109999038,False
current,cgb,29,0.16132085025310516,6,1.2397115230560303,1.2506986856460571,0.26418885588645935,0.20964045822620392,59.141111600009026,False
current,cgb,30,0.16629211604595184,6,1.239761471748352,1.2509297132492065,0.26416149735450745,0.21308283507823944,78.62945349997608,False
current,cold,1,0.11182499676942825,6,1.2475383281707764,1.2518402338027954,0.2683359682559967,0.2312907725572586,191.5279475999996,True
current,cold,2,0.08021591603755951,6,1.2461004257202148,1.2487425804138184,0.26214534044265747,0.2129506915807724,306.462917600089,False
current,cold,3,0.08080551028251648,6,1.244680643081665,1.2475872039794922,0.2645868957042694,0.21740548312664032,297.7248258999898,False
current,cold,4,0.08091340959072113,6,1.2481110095977783,1.2508487701416016,0.26429933309555054,0.223723366856575,267.463984199916,False
current,cold,5,0.07609563320875168,6,1.2521181106567383,1.2548986673355103,0.2651256024837494,0.21698501706123352,303.4717212000105,False
current,cold,6,0.09866048395633698,6,1.245705246925354,1.2490719556808472,0.26342204213142395,0.21118924021720886,303.0316519998305,False
current,cold,7,0.5312169790267944,6,1.3483867645263672,1.3533216714859009,0.2626330554485321,0.2224573791027069,300.5768579998985,False
current,cold,8,0.08450104296207428,6,1.2466232776641846,1.249900460243225,0.26430651545524597,0.2137576937675476,286.28148189990316,False
current,cold,9,0.09729545563459396,6,1.2461060285568237,1.2499557733535767,0.2639633119106293,0.21579597890377045,322.7286738999246,False
current,cold,10,0.10260948538780212,6,1.2438267469406128,1.2477941513061523,0.264779269695282,0.2168823927640915,367.9408922000148,False
current,cold,11,0.08738122135400772,6,1.2413910627365112,1.2443259954452515,0.26008543372154236,0.22073450684547424,247.33046519992058,False
current,cold,12,0.08118173480033875,6,1.248730182647705,1.251448631286621,0.26267358660697937,0.21471889317035675,329.7963515999727,False
current,cold,13,0.5143753886222839,6,1.3425942659378052,1.348343849182129,0.26279523968696594,0.217753604054451,254.47293370007537,False
current,cold,14,0.09402371942996979,6,1.2401708364486694,1.243815302848816,0.2629595696926117,0.22088854014873505,283.71700609999243,False
current,cold,15,0.08342265337705612,6,1.2446508407592773,1.2476383447647095,0.2645880877971649,0.22451753914356232,308.39188789992477,False
current,cold,16,0.07964342087507248,6,1.2478357553482056,1.2505980730056763,0.263805627822876,0.22591161727905273,307.5794903000351,False
current,cold,17,0.08263019472360611,6,1.2474244832992554,1.2505823373794556,0.26444387435913086,0.22614187002182007,358.6793533000164,False
current,cold,18,0.09225320816040039,6,1.247711181640625,1.2508790493011475,0.2635715901851654,0.21953554451465607,277.5489616999985,False
current,cold,19,0.0865272581577301,6,1.2479263544082642,1.2510937452316284,0.2646348476409912,0.22715169191360474,381.1530330000096,False
current,cold,20,0.08651221543550491,6,1.2448608875274658,1.2482399940490723,0.26416584849357605,0.2170364409685135,340.75768019995303,False
current,cold,21,0.3747037947177887,6,1.2977811098098755,1.301961064338684,0.2635412812232971,0.21434137225151062,305.2693387999898,False
current,cold,22,0.08207205682992935,6,1.2471848726272583,1.2499816417694092,0.26542553305625916,0.22454704344272614,346.2450278000033,False
current,cold,23,0.08804995566606522,6,1.2455133199691772,1.2484157085418701,0.26161327958106995,0.22338414192199707,325.0813302999886,False
current,cold,24,0.0846833810210228,6,1.2455447912216187,1.248734712600708,0.263873428106308,0.21278099715709686,367.85406189991045,False
current,cold,25,0.07703918218612671,6,1.2490953207015991,1.2515809535980225,0.2610938847064972,0.2136768251657486,368.4976153000316,False
current,cold,26,0.08387637883424759,6,1.2451730966567993,1.2481895685195923,0.26520776748657227,0.2166910469532013,276.05370810005115,False
current,cold,27,0.08998575061559677,6,1.2452764511108398,1.2483614683151245,0.26290369033813477,0.21328113973140717,299.9843130999943,False
current,cold,28,0.7334180474281311,6,1.4415684938430786,1.444838523864746,0.26042211055755615,0.2216474562883377,399.54805929999566,False
current,cold,29,0.09612017124891281,6,1.2451413869857788,1.2485524415969849,0.26418885588645935,0.22155407071113586,347.66705900002853,False
current,cold,30,0.08388184756040573,6,1.2470734119415283,1.2502410411834717,0.26416149735450745,0.2239270806312561,305.1982082000177,False
current,warm,1,0.1400556117296219,6,1.2417091131210327,1.2503044605255127,0.17045794427394867,0.9650698900222778,68.12373089996981,True
current,warm,2,0.1298738718032837,6,1.2398285865783691,1.2481436729431152,0.14812789857387543,0.9269566535949707,108.2865324000013,False
current,warm,3,0.12693428993225098,6,1.2382432222366333,1.246134877204895,0.16511568427085876,0.9021410942077637,106.13657199993031,False
current,warm,4,0.13308748602867126,6,1.2412619590759277,1.2497265338897705,0.16652990877628326,0.9940510392189026,110.826584800001,False
current,warm,5,0.12974245846271515,6,1.2457033395767212,1.2540725469589233,0.1629094034433365,0.9480217695236206,118.93246839992935,False
current,warm,6,0.13180799782276154,6,1.2414416074752808,1.250011920928955,0.165154829621315,1.00387442111969,118.08648210004321,False
current,warm,7,0.12845703959465027,6,1.2392683029174805,1.2473801374435425,0.16329734027385712,0.9622012972831726,125.34429060001276,False
current,warm,8,0.12905538082122803,6,1.2414063215255737,1.2494385242462158,0.16271351277828217,0.9117600917816162,122.49763379996875,False
current,warm,9,0.13086259365081787,6,1.24086594581604,1.2492173910140991,0.16756796836853027,0.9417636394500732,144.00721120007802,False
current,warm,10,0.13077689707279205,6,1.2410062551498413,1.2491788864135742,0.17405563592910767,0.9244887232780457,122.63812459999463,False
current,warm,11,0.12643420696258545,6,1.2362264394760132,1.2441588640213013,0.1614784449338913,0.9287201166152954,113.2394233000523,False
current,warm,12,0.13413457572460175,6,1.2420340776443481,1.2506266832351685,0.16275545954704285,0.949632465839386,120.077371600084,False
current,warm,13,0.1282866895198822,6,1.2424782514572144,1.2506719827651978,0.18076157569885254,0.9537376165390015,115.18186939996667,False
current,warm,14,0.1279595047235489,6,1.2353689670562744,1.243420958518982,0.18625514209270477,0.9107871055603027,160.0273414000112,False
current,warm,15,0.1260634958744049,6,1.2389582395553589,1.2468452453613281,0.16515257954597473,0.9396044611930847,125.45433520001825,False
current,warm,16,0.12823691964149475,6,1.2414588928222656,1.2495917081832886,0.1634131819009781,0.955796480178833,147.9641299000359,False
current,warm,17,0.12475164234638214,6,1.242386817932129,1.2501342296600342,0.16388265788555145,0.9336758255958557,127.1064285999746,False
current,warm,18,0.12799446284770966,6,1.243121862411499,1.2510079145431519,0.16400769352912903,0.9131000638008118,134.99984950004728,False
current,warm,19,0.13445396721363068,6,1.2415763139724731,1.2501029968261719,0.18344295024871826,0.9774876236915588,151.9142000999709,False
current,warm,20,0.1300128549337387,6,1.23997962474823,1.2481058835983276,0.1645294427871704,0.9537858963012695,151.2895948999212,False
current,warm,21,0.13377374410629272,6,1.241371512413025,1.2500004768371582,0.16183152794837952,0.96295565366745,164.8374191999901,False
current,warm,22,0.13856951892375946,6,1.2402371168136597,1.248974084854126,0.16760748624801636,1.0135326385498047,156.21044500003336,False
