method,stage,seed,sweep,seconds,rank,signal_rmse,observation_rmse,noise_sd,loading_variance,elbo,expected_log_likelihood,kl_loading,kl_feature,row_regularization,column_regularization,penalized_elbo,package_negative_elbo,package_score_discrepancy,min_loading_kl,min_feature_kl,current_covariates_match_fitted,fit_seconds,uncontended_timing,final_network_state_entries
mean,cold,6,30,19.330023500020616,4,0.08682581037282944,1.2476563453674316,1.2506052255630493,0.008647657930850983,-332344.3240506371,-328513.2340542992,1748.0312194824219,2083.0587768554688,-713.0126706779588,-67.96505355834961,-333125.3017748734,332344.34375,0.019699362921528518,125.67324829101562,434.5212097167969,True,19.330023500020616,False,70644
mean,cold,7,30,19.15671469992958,4,0.08065677434206009,1.2450847625732422,1.2480835914611816,0.011774931102991104,-331882.7348182275,-328109.5673682763,1768.2750854492188,2004.8923645019531,-722.2045656798055,-58.226335525512695,-332663.1657194328,331882.71875,-0.01606822747271508,158.97003173828125,399.9078674316406,True,19.15671469992958,False,70644
mean,cold,8,30,18.867111600004137,4,0.08438686281442642,1.2469749450683594,1.2501838207244873,0.017320280894637108,-332204.98585647234,-328445.82289260515,1785.5789794921875,1973.583984375,-719.4829902667553,-61.26287078857422,-332985.73171752767,332204.96875,-0.017106472339946777,157.974853515625,392.95477294921875,True,18.867111600004137,False,70644
mean,cold,9,30,19.653222400083905,4,0.08639917522668839,1.2467957735061646,1.2498853206634521,0.01200805138796568,-332183.86004744354,-328398.0678111154,1765.0870361328125,2020.7052001953125,-714.7807831465586,-62.74582004547119,-332961.38665063557,332183.84375,-0.016297443537041545,125.20513916015625,410.62164306640625,True,19.653222400083905,False,70644
mean,cold,10,30,19.698085799900582,4,0.08807569742202759,1.2468591928482056,1.249758243560791,0.0073085688054561615,-332127.17633981485,-328377.73551339883,1740.45849609375,2008.9823303222656,-713.2646830701665,-62.62850856781006,-332903.06953145284,332127.15625,-0.020089814846869558,104.7904052734375,416.899658203125,True,19.698085799900582,False,70644
mean,cold,11,30,18.947633099975064,4,0.08537091314792633,1.2418524026870728,1.2445706129074097,0.007551258895546198,-331247.02283916867,-327545.81849346554,1711.1437377929688,1990.0606079101562,-721.2332667416171,-62.59074020385742,-332030.84684611415,331247.03125,0.008410831331275403,102.3555908203125,395.4078674316406,True,18.947633099975064,False,70644
mean,cold,12,30,18.959051899961196,4,0.08470721542835236,1.2489515542984009,1.2514419555664062,0.003956596367061138,-332359.48221650417,-328646.9832846194,1692.0610961914062,2020.4378356933594,-716.2096623878272,-58.06825637817383,-333133.7601352702,332359.5,0.017783495830371976,109.59271240234375,399.5469665527344,True,18.959051899961196,False,70644
mean,cold,13,30,19.34253999995417,4,0.09493693709373474,1.247693657875061,1.2513149976730347,0.03565315529704094,-332435.805225619,-328626.7091257655,1752.8734130859375,2056.222686767578,-814.4808414314987,-69.64131546020508,-333319.9273825107,332435.8125,0.007274381001479924,116.6947021484375,437.5945739746094,True,19.34253999995417,False,70644
mean,cold,14,30,18.959197799907997,4,0.09752479940652847,1.2397186756134033,1.2440212965011597,0.05402188375592232,-331317.32180231623,-327457.52422541194,1838.0492858886719,2021.748291015625,-847.2217952132208,-74.98795890808105,-332239.53155643755,331317.3125,-0.00930231623351574,132.28366088867188,412.9566650390625,True,18.959197799907997,False,70644
mean,cold,15,30,18.981098500051303,4,0.08133380860090256,1.2440778017044067,1.2474870681762695,0.02000562660396099,-331855.696283245,-328013.9370669364,1830.9312744140625,2010.8279418945312,-708.5949536791353,-63.14595127105713,-332627.4371881952,331855.6875,-0.008783244993537664,173.2420654296875,415.24737548828125,True,18.981098500051303,False,70644
